排名,书籍,封面,作者,时间,时间（无月日）,出版社,评分,评价人数（人）,售价（元）
215,骆驼祥子,https://img1.doubanio.com/view/subject/s/public/s1146040.jpg,老舍 ,2000-3-1,2000, 人民文学出版社 ,8.6,204711,12.00
216,生死疲劳,https://img1.doubanio.com/view/subject/s/public/s34086258.jpg,莫言 ,2022-1,2022, 浙江文艺出版社 ,9.1,31860,69.90
217,不存在的骑士,https://img2.doubanio.com/view/subject/s/public/s8972061.jpg,[意] 伊塔洛·卡尔维诺 ,2012-4,2012, 译林出版社 ,8.9,23342,22.00
218,象棋的故事,https://img1.doubanio.com/view/subject/s/public/s2897060.jpg,[奥] 斯蒂芬·茨威格 ,2007-7,2007, 上海译文出版社 ,9.2,12733,23.00
219,显微镜下的大明,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg,马伯庸 ,2019-1,2019, 湖南文艺出版社 ,8.8,40914,52.00
220,现代艺术150年,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,[英] 威尔·贡培兹 ,2017-3,2017, 广西师范大学出版社 ,9.1,14290,65.00
221,枪炮、病菌与钢铁,https://img3.doubanio.com/view/subject/s/public/s1738643.jpg,[美] 贾雷德·戴蒙德 ,2006-4-1,2006, 上海译文出版社 ,8.7,50475,45.00
222,解忧杂货店,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,[日] 东野圭吾 ,2014-5,2014, 南海出版公司 ,8.5,752658,39.50
223,银河帝国：基地七部曲,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg,[美] 艾萨克·阿西莫夫 ,2015-10-1,2015, 江苏凤凰文艺出版社 ,9.5,15043,328.00
224,二手时间,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg,[白俄] S. A. 阿列克谢耶维奇 ,2016-1,2016, 中信出版社 ,8.9,24064,55.00
225,庄子,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,孙通海 译注 ,2007-04,2007, 中华书局 ,9.4,11559,20.00
226,上学记,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg,何兆武 口述 ,2006-8,2006, 生活·读书·新知三联书店 ,8.9,14014,19.80
227,目送,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg,龙应台 ,2009-10,2009, 生活·读书·新知三联书店 ,8.6,210806,39.00
228,父权制与资本主义,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,[日] 上野千鹤子 ,2020-3,2020, 浙江大学出版社 ,9.2,16647,58.00
229,顾城的诗,https://img3.doubanio.com/view/subject/s/public/s1024472.jpg,顾城 ,1998-12,1998, 人民文学出版社 ,8.8,26058,20.00
230,火星救援,https://img3.doubanio.com/view/subject/s/public/s28284337.jpg,[美]安迪•威尔 ,2015-10,2015, 译林出版社 ,8.9,19502,38.00
231,总统是靠不住的,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg,林达 ,2004-08,2004, 生活·读书·新知三联书店 ,8.8,20837,21.80
232,众病之王,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,[美] 悉达多·穆克吉 ,2013-2,2013, 中信出版社 ,9.0,13011,42.00
233,规训与惩罚,https://img3.doubanio.com/view/subject/s/public/s2522397.jpg,[法] 米歇尔·福柯 ,2003-1,2003, 生活·读书·新知三联书店 ,9.3,10581,21.80
234,会饮篇,https://img3.doubanio.com/view/subject/s/public/s25807032.jpg,[古希腊] 柏拉图 ,2013-1,2013, 商务印书馆 ,9.3,11071,12.00
235,金锁记,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,张爱玲 ,2005-6,2005, 哈尔滨出版社 ,8.6,62042,13.5
236,亲爱的安德烈,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg,龙应台 ,2008-12,2008, 人民文学出版社 ,8.6,121098,26.00
237,毛姆短篇小说精选集,https://img9.doubanio.com/view/subject/s/public/s24174596.jpg,[英] 威廉·萨默塞特·毛姆 ,2012-11,2012, 译林出版社 ,9.1,12477,36.00
238,认识电影,https://img3.doubanio.com/view/subject/s/public/s28274132.jpg,[美] 路易斯·贾内梯 ,2007-11,2007, 世界图书出版公司 ,8.9,18385,68.00
239,李光耀观天下,https://img3.doubanio.com/view/subject/s/public/s28095832.jpg,李光耀 ,2015-6,2015, 北京大学出版社 ,9.2,12032,58.00
240,黑箱：日本之耻,https://img9.doubanio.com/view/subject/s/public/s30025945.jpg,[日]伊藤诗织 ,2019-4,2019,中信出版集团 ,8.9,22105,48.00
241,哈姆莱特,https://img3.doubanio.com/view/subject/s/public/s27009357.jpg,[英] 莎士比亚 ,2001-1,2001, 人民文学出版社 ,8.7,49347,7.00
242,了不起的盖茨比,https://img9.doubanio.com/view/subject/s/public/s9110246.jpg,[美] 斯科特·菲茨杰拉德 ,2012-5,2012, 南海出版公司 ,8.7,54604,25.00
243,分成两半的子爵,https://img3.doubanio.com/view/subject/s/public/s8972073.jpg,[意] 伊塔洛·卡尔维诺 ,2012-4-1,2012, 译林出版社 ,8.8,26545,20.00
244,帷幕,https://img3.doubanio.com/view/subject/s/public/s27988902.jpg,[英] 阿加莎·克里斯蒂 ,2015-2,2015, 新星出版社 ,9.1,14793,26.00
245,中国哲学简史,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg,冯友兰 ,2004-1,2004, 新世界出版社 ,8.9,19985,38.00
246,坟,https://img1.doubanio.com/view/subject/s/public/s2128420.jpg,鲁迅 ,2006-12,2006, 人民文学出版社 ,9.6,11501,16.00
247,荆棘鸟,https://img9.doubanio.com/view/subject/s/public/s1073574.jpg,[澳] 考琳·麦卡洛 ,1998-7,1998, 译林出版社 ,8.6,51988,28.00
248,青铜时代,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg,王小波 ,1997-5,1997, 花城出版社 ,8.8,26831,29.00
249,如父如子,https://img1.doubanio.com/view/subject/s/public/s29707420.jpg,[日] 是枝裕和 ,2018-4,2018, 湖南文艺出版社 ,8.9,26406,49.80
250,从一到无穷大,https://img1.doubanio.com/view/subject/s/public/s2516920.jpg,[美] G. 伽莫夫 ,2002-11,2002, 科学出版社 ,9.1,13899,29.00
